Tweet, Sentiment_Label
b'Fuck Kanye',Negative
b'RT @kvshx_: Kanye might be the rawest producer alive, this shit got me crying fr.',Negative
b'RT @adam22: Ok no seriously here\xe2\x80\x99s the pic I got with Kanye and Kim thanks so much for having me guys https://t.co/sSDzGhc6KL',Positive
b'RT @dubstep4dads: this is definitely my favorite song on the new kanye album https://t.co/Y5ccMHtSIW',Positive
b'Ptnn Shake a fait un son avec Kanye jvais c\xc3\xa9der je le sens',Negative
b'RT @sirhottest: I prefer mentally stable Kanye.',Negative
b'RT @mattdpearce: Here\xe2\x80\x99s my quick take on Kanye\xe2\x80\x99s new album: The hurricane in Puerto Rico was the deadliest American disaster in more than a\xe2\x80\xa6',Positive
b'Kanye album hype got burried under Jr Smith memes and Nigeria Kit launch looool',Negative
b'This new Kanye is goofy',Positive
b'RT @CadenceMadeIt: Kanye\xe2\x80\x99s album one of the dopest projects I\xe2\x80\x99ve heard in my life',Negative
b'RT @taywildbruh: \xe2\x80\x9cHave you heard the new Kanye alb....\xe2\x80\x9d https://t.co/QCniauU1XU',Positive
b"I'm glad Kanye recognized that enough to throw Ty all over ye, but nothing Ty did on ye was anywhere near as good as Real Friends tbh",Positive
b'RT @bycycle: Kanye\xe2\x80\x99s album cover is spot on. https://t.co/ioLGYd26MR',Negative
b'RT @PrisonPlanet: Eminem chose hate. Kanye chose love. \n\nKanye still has a career.\n\n\xf0\x9f\x98\x8e',Negative
b'RT @MichaelRapaport: Motherfucka\xe2\x80\x99s our here self diagnosing themselves and calming they\xe2\x80\x99re Bi-Polar to bond with \nKanye West. https://t.co/\xe2\x80\xa6',Negative
b'asap solto \xc3\xa1lbum, Kanye tb, mt coisa fina saiu por a\xc3\xad mas \xc3\xa9 aquilo nem gosto muito de Rap gringo \nqueria mesmo era\xe2\x80\xa6 https://t.co/6oDcT8Jxo6',Negative
b"RT @chartdata: Kanye West's 'ye' has reached #1 on US iTunes (albums).",Negative
b"I refuse to listen to kanye omari west album. He's a hypocrit and ive been saying this for years.. Not today Satan.. You will not get me!",Negative
b'RT @KimKardashian: Kanye shot the album cover on his iPhone on the way to the album listening party \xf0\x9f\x98\x82\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x94\xa5',Negative
b'RT @RealLifeKaz: First time in my life where \xe2\x80\x9cI\xe2\x80\x99ll get to the Kanye album when i get to it.\xe2\x80\x9d',Positive
b"RT @reaIDonaldTrunp: Can't believe Kanye let me fuck Kim Kardashian!",Negative
b'RT @THEKIDMERO: KANYE GONE B. HIS BUCKET OF LEGIT RAPPERS TO PLUCK BARS FROM IS BEING DEPLETED DAILY. GET READY FOR THE SCOOPITY DOOP POOP\xe2\x80\xa6',Positive
b'That kanye album was trash aside from Ghost Town, lessbehonest',Negative
b'RT @adam22: Kanye cares so deeply for Armenian women that he is dropping his album on Lena\xe2\x80\x99s birthday god what a great guy',Positive
b'RT @CraigSJ: Kanye rapped that "write my wrongs" line first and then Drake borrowed it twice and then Push used it to diss Drake and now Ka\xe2\x80\xa6',Positive
b'woah kanye is hanging out with elon musk and wolf blitzer https://t.co/NWkgBvaGmo',Negative
b'RT @traptomcruise20: \xe2\x80\x9cKanye is cancelled\xe2\x80\x9d https://t.co/4jhg81JGi9',Negative
b'"Wouldn\'t Leave" off this new Kanye album is so fire and stupid at the same damn time\xf0\x9f\x94\xa5\xf0\x9f\x98\x92',Negative
b'@NickLaparra @CaseyNeistat I don\xe2\x80\x99t share the same views as kanye but honestly I love his music',Positive
b"RT @_iAmRoyal: Kanye West literally said that slavery is a choice. Niggas spent WEEKS talking shit about him. Now y'all are back to celebra\xe2\x80\xa6",Negative
b'RT @Sable_Soul: \xe2\x80\x9cI love yo titties cuz they prove I can focus on 2 things at once.\xe2\x80\x9d - Kanye\n\nSensational lmaooo',Positive
b'This might just be Kanye\xe2\x80\x99s best album yet',Positive
b'RT @tiaramvrie: This nigga Kanye said \xe2\x80\x9cI love your titties cause they prove I can focus on two things at once.\xe2\x80\x9d Lmfao.',Positive
b'RT @AnUgIyNigga: Niggas think not listening to Kanye album makes them Freedom fighter',Negative
b'RT @AniCaribbean: Jaden Smith told @BigBoy Complex lied about Drake and Kanye \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80 https://t.co/LjB13bz9Hr',Negative
b'RT @deityshawty: kanye\xe2\x80\x99s album sounds like a bunch of songs that didn\xe2\x80\x99t make it onto the album but the gag is, it is the album \xe2\x98\xb9\xef\xb8\x8f',Negative
b'RT @RoRoThat: Nobody cares about Kanye music \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',Negative
b'RT @universeofsean: vous avez regrimp\xc3\xa9 sur la bite de Kanye West TELLEMENT vite',Negative
b'RT @bulletproofsole: I can tell Kanye MADE those beats..',Negative
b'RT @freekodakcrack: Me singing bound 2 by Kanye west when ain\xe2\x80\x99t nobody at home. https://t.co/pvY1k35IUK',Negative
b"@Bdell1014 Kanye never been about substance...  Maybe on College Dropout...  But I ain't seen him wit Mos and Kweli since",Negative
b'RT @YessOffence: @SHABOOTY @KimKardashian When Kanye actually drops the album https://t.co/sUmZCaI3J5',Negative
b'RT @ClaudeKnows: You know what Kanye verse was underrated? His Remix to \xe2\x80\x9cDiamonds\xe2\x80\x9d by Rihanna',Negative
b"RT @athleteswhore: Y'all really shitted on Taylor Swift calling her a trump supporter but ignore Kanye &amp; Kim. Give Taylor an apology.",Positive
b'RT @Al_Peeair: When Kanye drop a Me Too line and the camera pans over to you https://t.co/maBcDC1u8A',Negative
b'RT @Slate: Kanye spent $85,000 on Pusha-T\xe2\x80\x99s album cover, but he paid nothing for his own: https://t.co/FwKHNo9brP https://t.co/j8AEjAcBzI',Positive
b'RT @DaKidGowie: Let me get this straight...\n\nIt\xe2\x80\x99s okay to support artists who have literally sold drugs to our own community. We can suppor\xe2\x80\xa6',Positive
b'RT @GiftedNegro: Call me stubborn, angry, whatever you want, Kanye West can still eat a dick. He doesn\xe2\x80\x99t get a pass because of some random\xe2\x80\xa6',Negative
b'RT @dratrevino: kanye\xe2\x80\x99s new album got that old school kanye vibe',Positive
b'RT @tamaradhia: In some ways, #YE feels like a Kanye compilation album of his previous sounds. I hear elements of Graduation, 808s, MBDTF,\xe2\x80\xa6',Negative
b"RT @jensenbecoming: Hello I am a bipolar person who thinks that Kanye having bipolar disorder doesn't excuse his being classist asshole",Negative
b'@breebunn This was my favorite line. Classic kanye',Positive
b'can never go wrong with a kanye and cudi piece!',Negative
b'Sooooo ummm what were yall saying about Kanye West???? https://t.co/cFnmOTgVsl',Negative
b'RT @mineifiwildout: alright yea kanye fuckin snapped on this album when he said When I was a young boy \nMy father took me into the city\nTo\xe2\x80\xa6',Positive
b'RT @BarkyBoogz: Kanye looked dead in the camera and told y\xe2\x80\x99all \xe2\x80\x9cslavery was a choice\xe2\x80\x9d and y\xe2\x80\x99all still streaming this nigga album? Different.',Negative
b"RT @GoodBoySeb: Anyone who complains about Kanye's ego moans when they wipe their ass",Negative
b'RT @jamie_lathrop: When Kanye said \xe2\x80\x9cI love myself way more than I love you, and I think about killing myself, so best believe I thought abo\xe2\x80\xa6',Positive
b'Unpopular Opinion: Kanye West album goes... \xf0\x9f\x94\xa5don\xe2\x80\x99t @ me, I said what I said.',Negative
b'RT @zombiez000: No one cares that you\xe2\x80\x99re boycotting Kanye\xe2\x80\x99s music.',Negative
b'RT @ByYourLogic: Kanye is trapped in a Jim Carrey comedy/drama about a man who must always respond to his first impulse on something and th\xe2\x80\xa6',Positive
b"@talldrankawata I appreciate that. And I trust yours, as well. I'm sure your analysis is spot on. I'm sure I'll get\xe2\x80\xa6 https://t.co/sPSD8X6wt3",Positive
b'RT @iBobbyDeluxe: Social media : Kanye is cancelled \n**two days later drops his album** \nSocial media conscious gods : https://t.co/ntcl7Ym\xe2\x80\xa6',Positive
b'RT @rollingstoneBR: Por dentro da festa que mostrou ao mundo o novo disco do Kanye\nhttps://t.co/gwBg21CVeb',Negative
b'I know Kanye dropped an album an all but Luke Combs just released some absolute gold',Positive
b'RT @quenblackwell: kanye\xe2\x80\x99s fanbase after listening to his new album: https://t.co/TvHQ5bsZhr',Positive
b'kanye new album so\xf0\x9f\x94\xa5 damn that cunt he\xe2\x80\x99s genius.',Positive
b'RT @CertifiedFool_: Good morning to everyone who said they were cancelling Kanye and stuck to that today. The rest of you can choke.',Positive
b'RT @KingPolo_: kanye been trash why y\xe2\x80\x99all gassing him up lmao',Positive
b'RT @VsopVic: \xe2\x80\x9cHow can you still support Kanye\xe2\x80\x9d people who voted for Hillary Clinton and call joe Biden \xe2\x80\x9cuncle joe\xe2\x80\x9d lmaooo  poor fools',Negative
b'RT @leoleahpooh: Y\xe2\x80\x99all pathetic... why are you holding Kanye to higher social standard then the people you elect. He has no power in govern\xe2\x80\xa6',Positive
b'RT @connorbrooks015: Kanye better than drake ever will be',Positive
b'RT @YeenShitCuh: Go talk about Kanye\xe2\x80\x99s album somewhere else. https://t.co/9DW9XHPMQM',Negative
b'RT @Genius: kanye\'s new album has a lot of high profile features, but  @070shake\'s soaring outro on \xe2\x80\x9cghost town" led to a spike in people s\xe2\x80\xa6',Positive
b'\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac\xf0\x9f\x98\xac I think I\xe2\x80\x99m liking kanye\xe2\x80\x99s album',Negative
